"타임스탬프","Q1. 성별","Q2. 제주 체류기간","Q3. 제주에서 가장 불편했던 점은?","Q4. 택시를 얼마나 자주 이용하셨나요?","Q5. 같이 하고 싶은 활동은?","Q6. 교류방 오픈채팅에서 가장 많이 찾는 것은?","Q7. 방금 선택한 정보를 오픈채팅에서 찾을 때 가장 불편한 점은?","Q8. 택시팟, 여행팟, 식사/카페 모임처럼 사람을 구하는 기능을 한곳에서 찾고 모집할 수 있다면 사용하시겠습니까?","Q9. 바라는 기능이 있으면 자유롭게 써주세요.",""
"2026/07/07 4:37:47 오후 GMT+9","남성","4주 이상","교통;택시비;같이 이동할 사람 찾기;정보 부족","이용 안함","해수욕;맛집;카페;드라이브;술;운동;공연;전시회;여행;공부;","택시팟","원하는 글을 찾기 어렵다;지난 글을 찾기 어렵다;채팅이 너무 빨리 올라간다","반드시 사용","","같은 목적지를 찾기 어렵다;연락하기 번거롭다;안전성이 걱정된다"
"2026/07/07 6:40:34 오후 GMT+9","여성","4주 이상","택시비;버스 노선","주 3~4회","해수욕;맛집;카페;드라이브","택시팟","글이 너무 많다;모집이 끝난 글이 계속 있다","사용할 것 같다","",""
"2026/07/07 6:50:43 오후 GMT+9","남성","4주 이상","버스 노선","거의 안함","맛집;드라이브","택시팟","원하는 글을 찾기 어렵다","사용할 것 같다","",""
"2026/07/07 6:55:00 오후 GMT+9","여성","3주","택시비","주 3~4회","맛집","택시팟","글이 너무 많다","사용할 것 같다","",""
"2026/07/07 6:55:26 오후 GMT+9","남성","3주","버스 노선;정보 부족","주 1~2회","해수욕;맛집;여행","공지","글이 너무 많다;원하는 글을 찾기 어렵다;지난 글을 찾기 어렵다;채팅이 너무 빨리 올라간다","사용할 것 같다","",""
"2026/07/07 7:00:14 오후 GMT+9","여성","4주 이상","버스 노선","거의 안함","여행","택시팟","지난 글을 찾기 어렵다","사용할 것 같다","",""
"2026/07/07 7:13:25 오후 GMT+9","남성","2주","정보 부족","주 1~2회","맛집;카페;여행;공부","맛집","원하는 글을 찾기 어렵다","보통","",""
"2026/07/07 7:41:16 오후 GMT+9","여성","4주 이상","버스 노선","이용 안함","드라이브;공연","생활정보","정보가 정확한지 모르겠다","절대 안 사용","",""
"2026/07/07 7:46:42 오후 GMT+9","여성","4주 이상","버스 노선","거의 안함","해수욕","친구 만들기","정보가 정확한지 모르겠다","사용할 것 같다","",""
"2026/07/07 7:47:13 오후 GMT+9","남성","4주 이상","버스 노선","거의 안함","맛집;운동","친구 만들기","글이 너무 많다","보통","",""
"2026/07/07 8:00:43 오후 GMT+9","남성","4주 이상","버스 노선","주 3~4회","해수욕;여행","여행팟","원하는 글을 찾기 어렵다","사용할 것 같다","",""